Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,150,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
293.43,900,300,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,3,30291020,,,,,30291020
336.52,900,300,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,3,30825560,21484800,,,,52310360
0.00,900,300,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
110.38,900,300,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,3,29551120,19584000,22047180,20159400,,91341700
148.84,900,300,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,3,31790780,21715200,22870120,21215900,24943000,122535000
0.00,900,300,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
671.21,900,300,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,3,26987000,19502000,,,,46489000
23.70,900,300,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,3,28956700,20929800,24949800,,,74836300
0.00,900,300,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
72.03,900,300,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,3,28163200,20527700,24482800,33449400,35772600,142395700
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
342.62,900,300,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,3,27786600,20526700,,,,48313300
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,300,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,300,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
154.58,900,450,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2,30805200,,,,,30805200
0.00,900,450,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
185.14,900,450,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2,30708060,20448000,22270680,,,73426740
63.45,900,450,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2,29165020,19180800,21644880,19766100,,89756800
684.80,900,450,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2,29324900,19814400,22581280,20612000,24283800,116616380
179.89,900,450,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2,28632600,,,,,28632600
0.00,900,450,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,450,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
35.44,900,450,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2,28832700,20316800,24296000,33449400,,106894900
40.24,900,450,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2,27487900,20465400,24856400,31150600,33300600,137260900
0.00,900,450,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,450,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
293.71,900,450,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2,31511640,21715200,22870120,,,76096960
809.40,900,450,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2,28948160,19814400,22686720,21178200,,92627480
