Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
23.89,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,9.0,30632200.0,,,,,30632200.0,multi_shot
23.8,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,9.0,30632200.0,22233600.0,,,,52865800.0,multi_shot
24.19,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,9.0,30632200.0,22233600.0,22552680.0,,,75418480.0,multi_shot
24.51,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,9.0,30632200.0,22233600.0,22552680.0,21975600.0,,97394080.0,multi_shot
24.65,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,9.0,30632200.0,22233600.0,22552680.0,21975600.0,23059500.0,120453580.0,multi_shot
23.73,900,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,9.0,20554860.0,,,,,20554860.0,multi_shot
23.77,900,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,9.0,20554860.0,17107200.0,,,,37662060.0,multi_shot
24.2,900,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,9.0,20554860.0,17107200.0,18796760.0,,,56458820.0,multi_shot
24.14,900,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,9.0,20423660.0,16992000.0,18796760.0,17797800.0,,74010220.0,multi_shot
24.26,900,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,9.0,20423660.0,16992000.0,18796760.0,17797800.0,19881400.0,93891620.0,multi_shot
0.0,900,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,,,,,,,,multi_shot
159.11,900,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,9.0,10051260.0,8236800.0,,,,18288060.0,multi_shot
0.0,900,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,,,,,,,,multi_shot
155.2,900,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,9.0,10426260.0,8006400.0,9580600.0,8791900.0,,36805160.0,multi_shot
386.14,900,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,9.0,10116860.0,8064000.0,9580600.0,8714400.0,9087500.0,45563360.0,multi_shot
699.15,900,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,9.0,31406320.0,,,,,31406320.0,multi_shot
81.66,900,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,9.0,30417520.0,21772800.0,,,,52190320.0,multi_shot
557.97,900,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,9.0,30559700.0,22060800.0,22579040.0,,,75199540.0,multi_shot
460.93,900,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,9.0,30858580.0,20851200.0,21685040.0,21218800.0,,94613620.0,multi_shot
0.0,900,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,,,multi_shot
