Time,Horizon,Models,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,
