Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
29.14,900,150.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6.0,31292880.0,21024000.0,,,,52316880.0,multi_shot
232.4,900,150.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6.0,29389160.0,19929600.0,21644880.0,,,70963640.0,multi_shot
262.28,900,150.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6.0,28197700.0,19065600.0,21644880.0,19783500.0,,88691680.0,multi_shot
29.09,900,150.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6.0,30555340.0,21139200.0,22538880.0,21129700.0,24990100.0,120353220.0,multi_shot
0.0,900,150.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,,multi_shot
23.71,900,150.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,28956700.0,20929800.0,,,,49886500.0,multi_shot
23.59,900,150.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,28956700.0,20929800.0,24856400.0,,,74742900.0,multi_shot
24.6,900,150.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6.0,28763200.0,20316800.0,24296000.0,33212600.0,,106588600.0,multi_shot
380.69,900,150.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6.0,27706400.0,19518900.0,23455400.0,32959600.0,35607800.0,139248100.0,multi_shot
0.0,900,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
282.4,900,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6.0,30964740.0,21484800.0,,,,52449540.0,multi_shot
